Red_Hot,Whiskey_Bridge,Banks,Seymour,modern_DE
20.26,18.60,5.40,10.50,11.99
17.85,17.79,5.78,10.56,13.04
13.09,20.33,6.83,10.85,13.74
16.45,17.94,7.00,12.09,13.83
19.41,22.68,7.29,12.49,14.44
19.17,14.65,7.34,13.25,14.80
13.20,20.39,7.39,13.63,14.80
14.64,16.32,7.47,13.81,14.80
11.59,18.55,7.57,13.89,14.97
14.57,17.89,7.59,14.00,15.32
14.60,24.33,7.60,14.00,15.41
13.78,23.49,7.69,14.19,15.58
13.92,21.74,7.74,14.44,15.58
13.63,20.02,8.04,14.73,15.67
10.40,22.43,8.13,14.77,15.85
13.39,19.46,8.15,14.92,15.85
14.45,21.95,8.21,15.00,15.94
11.08,23.09,8.24,15.00,15.94
19.04,25.48,8.25,15.00,16.11
18.72,22.75,8.30,15.00,16.20
15.14,16.53,8.36,15.25,16.20
16.92,24.48,8.38,15.51,16.37
20.75,24.75,8.51,15.87,16.55
17.13,19.91,8.55,16.50,16.64
15.04,19.61,8.61,16.59,16.81
7.60,15.91,8.62,17.00,16.81
21.55,24.27,8.62,17.00,16.81
17.48,19.11,8.64,17.41,16.81
15.39,21.32,8.68,17.74,16.90
16.71,25.28,8.69,17.90,16.99
8.64,16.08,8.69,17.96,17.08
12.47,16.21,8.70,18.58,17.08
14.55,19.63,8.72,18.88,17.16
7.70,17.88,8.78,18.90,17.16
13.31,20.76,8.82,19.01,17.16
13.27,22.66,8.85,19.46,17.16
8.49,20.24,8.86,19.49,17.25
9.37,20.24,8.86,19.50,17.25
9.51,20.08,8.87,20.17,17.25
14.35,22.60,8.99,21.48,17.34
8.80,21.49,9.02,24.75,17.34
12.93,25.96,9.02,25.50,17.34
9.77,23.65,9.20,26.15,17.43
9.10,19.18,9.35,26.66,17.69
5.23,21.11,9.36,28.92,17.69
12.98,20.58,9.37,29.50,17.69
12.91,21.45,9.39,29.57,17.78
18.43,17.69,9.40,30.07,17.86
16.41,16.64,9.46,32.19,17.86
13.70,15.64,9.50,33.14,18.04
15.99,24.05,9.51,33.88,18.04
18.05,23.63,9.60,12.13,18.04
17.40,15.31,9.63,12.41,18.04
10.41,24.05,9.70,14.13,18.13
15.17,16.97,9.70,15.17,18.22
10.60,20.83,9.73,17.00,18.22
13.33,20.06,9.74,17.36,18.22
13.70,24.44,9.74,19.00,18.30
9.40,19.94,9.77,21.39,18.39
6.14,17.71,9.81,24.18,18.39
11.76,19.23,9.82,27.76,18.39
11.62,18.02,9.85,30.77,18.39
10.38,22.26,9.91,35.50,18.48
5.83,23.37,9.99,36.38,18.48
11.99,20.52,10.02,10.00,18.48
7.04,23.65,10.02,10.00,18.57
11.32,22.51,10.05,10.00,18.65
11.78,16.12,10.06,10.44,18.65
13.11,18.79,10.07,10.50,18.65
11.21,16.33,10.08,10.50,18.74
8.47,21.50,10.10,10.56,18.74
14.55,18.90,10.11,11.00,18.74
9.24,17.31,10.13,11.00,18.83
11.51,17.17,10.15,11.00,18.83
8.29,18.08,10.15,11.00,18.92
13.35,18.37,10.18,11.50,18.92
19.19,25.07,10.20,11.50,18.92
15.66,14.70,10.21,11.50,18.92
8.33,18.48,10.27,11.50,18.92
12.70,16.22,10.30,12.00,19.00
11.18,17.95,10.30,12.00,19.00
11.79,15.38,10.30,12.00,19.00
8.04,19.39,10.31,12.00,19.09
8.60,10.79,10.36,12.00,19.18
17.86,15.37,10.38,12.00,19.18
10.88,23.69,10.45,12.29,19.18
11.36,27.98,10.48,12.50,19.27
8.64,28.84,10.51,12.50,19.36
8.85,25.50,10.53,12.50,19.36
14.29,16.60,10.57,13.00,19.36
7.42,29.46,10.62,13.00,19.44
9.48,29.90,10.63,13.00,19.53
8.85,24.78,10.64,13.10,19.53
9.90,25.60,10.66,13.28,19.62
5.98,28.74,10.69,13.50,19.62
12.35,20.80,10.73,13.50,19.71
21.08,27.57,10.77,13.50,19.79
14.87,29.66,10.78,13.50,19.88
11.56,27.65,10.78,13.50,20.15
11.11,28.94,10.81,13.50,20.23
11.85,16.14,10.82,13.50,20.23
16.57,24.21,10.83,13.50,20.23
14.77,27.85,10.83,14.00,20.23
12.97,20.65,10.93,14.00,20.32
12.94,28.63,10.95,14.00,20.41
10.22,27.42,10.98,14.00,20.50
14.88,21.18,11.00,14.00,20.50
12.57,31.17,11.04,14.00,20.50
9.55,27.76,11.06,14.00,20.58
10.37,23.52,11.09,14.00,20.67
6.98,24.95,11.09,14.49,20.67
8.93,28.81,11.10,14.50,20.85
6.95,23.45,11.13,14.50,20.85
6.88,23.79,11.14,14.50,21.64
6.05,27.20,11.21,14.50,21.72
7.24,24.14,11.23,14.50,21.72
13.78,27.67,11.26,15.00,21.99
11.12,25.44,11.26,15.00,22.25
10.50,30.02,11.27,15.00,22.25
7.27,25.14,11.28,15.00,22.69
13.28,17.83,11.35,15.00,22.78
9.93,22.84,11.36,15.00,22.86
9.82,21.45,11.44,15.00,23.30
8.31,32.57,11.45,15.00,23.48
17.41,30.56,11.48,15.00,23.57
12.90,25.71,11.51,15.00,23.65
8.27,28.72,11.52,15.00,24.27
21.47,17.04,11.54,15.00,24.35
20.81,27.68,11.59,15.00,25.06
13.66,20.24,11.60,15.00,25.06
17.92,23.68,11.64,15.00,25.06
17.66,31.57,11.65,15.00,25.14
18.89,18.45,11.67,15.00,25.23
18.17,22.59,11.69,15.00,25.32
23.29,19.72,11.71,15.00,25.67
15.74,29.55,11.80,15.00,26.11
9.85,30.16,11.80,15.25,
24.64,23.26,11.80,15.50,
17.43,18.51,11.84,15.50,
14.36,23.91,11.85,15.50,
8.89,24.62,11.88,15.50,
13.00,18.79,11.90,15.50,
23.56,19.45,12.06,15.51,
20.88,30.37,12.09,15.62,
10.22,25.82,12.17,16.00,
9.36,26.64,12.21,16.00,
19.38,25.00,12.24,16.00,
9.03,29.19,12.26,16.00,
15.09,29.70,12.30,16.00,
11.92,30.32,12.32,16.00,
17.54,26.74,12.35,16.00,
13.33,31.65,12.36,16.00,
18.04,27.72,12.37,16.00,
15.92,25.88,12.45,16.00,
12.14,27.17,12.46,16.00,
10.88,16.04,12.46,16.00,
17.83,28.46,12.55,16.00,
20.01,28.32,12.58,16.50,
17.43,,12.58,16.50,
18.00,,12.59,16.50,
5.80,,12.61,16.50,
11.59,,12.62,16.50,
10.50,,12.64,16.50,
9.74,,12.71,16.50,
11.24,,12.75,16.50,
14.58,,12.75,16.50,
9.15,,12.75,16.50,
13.40,,12.79,17.00,
9.63,,12.80,17.00,
10.21,,12.84,17.00,
8.56,,12.86,17.00,
10.18,,12.88,17.00,
8.25,,12.89,17.00,
8.86,,12.92,17.00,
14.60,,12.96,17.00,
18.17,,13.03,17.00,
12.05,,13.06,17.00,
17.72,,13.10,17.00,
17.08,,13.12,17.10,
19.50,,13.13,17.50,
11.49,,13.21,17.50,
10.57,,13.24,17.50,
11.92,,13.26,17.89,
16.26,,13.28,18.00,
13.98,,13.33,18.00,
8.52,,13.40,18.00,
8.99,,13.43,18.00,
20.02,,13.51,18.00,
12.21,,13.64,18.00,
9.70,,13.73,18.00,
15.43,,13.74,18.00,
7.25,,13.74,18.00,
16.07,,13.79,18.00,
12.03,,13.80,18.00,
11.77,,13.80,18.00,
9.95,,13.88,18.00,
11.29,,13.98,18.00,
9.72,,14.02,18.00,
9.24,,14.10,18.50,
14.57,,14.11,18.50,
6.08,,14.14,18.50,
11.23,,14.14,18.50,
9.52,,14.15,18.50,
9.63,,14.16,18.50,
10.31,,14.17,18.50,
14.99,,14.19,18.50,
12.01,,14.20,18.50,
13.44,,14.21,18.50,
15.22,,14.23,19.00,
