locality,anterior_tooth_mm
Red_Hot,20.26
Red_Hot,17.85
Red_Hot,13.09
Red_Hot,16.45
Red_Hot,19.41
Red_Hot,19.17
Red_Hot,13.2
Red_Hot,14.64
Red_Hot,11.59
Red_Hot,14.57
Red_Hot,14.6
Red_Hot,13.78
Red_Hot,13.92
Red_Hot,13.63
Red_Hot,10.4
Red_Hot,13.39
Red_Hot,14.45
Red_Hot,11.08
Red_Hot,19.04
Red_Hot,18.72
Red_Hot,15.14
Red_Hot,16.92
Red_Hot,20.75
Red_Hot,17.13
Red_Hot,15.04
Red_Hot,7.6
Red_Hot,21.55
Red_Hot,17.48
Red_Hot,15.39
Red_Hot,16.71
Red_Hot,8.64
Red_Hot,12.47
Red_Hot,14.55
Red_Hot,7.7
Red_Hot,13.31
Red_Hot,13.27
Red_Hot,8.49
Red_Hot,9.37
Red_Hot,9.51
Red_Hot,14.35
Red_Hot,8.8
Red_Hot,12.93
Red_Hot,9.77
Red_Hot,9.1
Red_Hot,5.23
Red_Hot,12.98
Red_Hot,12.91
Red_Hot,18.43
Red_Hot,16.41
Red_Hot,13.7
Red_Hot,15.99
Red_Hot,18.05
Red_Hot,17.4
Red_Hot,10.41
Red_Hot,15.17
Red_Hot,10.6
Red_Hot,13.33
Red_Hot,13.7
Red_Hot,9.4
Red_Hot,6.14
Red_Hot,11.76
Red_Hot,11.62
Red_Hot,10.38
Red_Hot,5.83
Red_Hot,11.99
Red_Hot,7.04
Red_Hot,11.32
Red_Hot,11.78
Red_Hot,13.11
Red_Hot,11.21
Red_Hot,8.47
Red_Hot,14.55
Red_Hot,9.24
Red_Hot,11.51
Red_Hot,8.29
Red_Hot,13.35
Red_Hot,19.19
Red_Hot,15.66
Red_Hot,8.33
Red_Hot,12.7
Red_Hot,11.18
Red_Hot,11.79
Red_Hot,8.04
Red_Hot,8.6
Red_Hot,17.86
Red_Hot,10.88
Red_Hot,11.36
Red_Hot,8.64
Red_Hot,8.85
Red_Hot,14.29
Red_Hot,7.42
Red_Hot,9.48
Red_Hot,8.85
Red_Hot,9.9
Red_Hot,5.98
Red_Hot,12.35
Red_Hot,21.08
Red_Hot,14.87
Red_Hot,11.56
Red_Hot,11.11
Red_Hot,11.85
